timestamps,open,high,low,close,volume,amount
2024-01-02 00:00:00,21.15,21.43,20.89,21.27,3132887,66793815.9
2024-01-03 00:00:00,21.19,21.34,20.94,21.05,1905646,40416766.4
2024-01-04 00:00:00,21.22,21.23,21,21.1,1620180,34391709.9
2024-01-05 00:00:00,23.21,23.21,21.79,21.99,17386456,397852304.8
2024-01-08 00:00:00,21.37,21.76,20.66,21.14,12352678,264447958.9
2024-01-09 00:00:00,20.87,21.18,20.5,20.71,6687608,139854170.8
2024-01-10 00:00:00,20.47,21.71,20.21,20.78,6018792,127044927.2
2024-01-11 00:00:00,20.59,21.52,20.38,21.28,6381347,134440725.3
2024-01-12 00:00:00,21.39,22.43,20.88,21.56,9243222,202938289.5
2024-01-15 00:00:00,21.36,22.77,21.34,21.79,8086383,179167077.5
2024-01-16 00:00:00,21.97,22.01,20.58,21.14,7701435,163205232.7
2024-01-17 00:00:00,21.12,21.23,19.8,19.8,4271952,87378572.4
2024-01-18 00:00:00,19.59,20.04,19.08,19.86,5135455,100370613.4
2024-01-19 00:00:00,19.88,19.98,19.07,19.13,3080900,60556201.0
2024-01-22 00:00:00,19.02,19.09,17.6,17.86,4195477,77396362.8
2024-01-23 00:00:00,17.65,18.47,17.4,18.37,3625015,65534485.5
2024-01-24 00:00:00,18.34,19.69,18.24,19.17,5290027,100662642.8
2024-01-25 00:00:00,19.45,20.03,18.9,19.93,5260118,102911540.7
2024-01-26 00:00:00,19.77,20.04,19.36,19.55,3452627,68173861.4
2024-01-29 00:00:00,19.4,19.43,18.25,18.38,3612234,68021113.1
2024-01-30 00:00:00,18.19,18.27,17.48,17.52,2484270,44661181.8
2024-01-31 00:00:00,17.5,17.65,16.35,16.4,3408400,57867793.6
2024-02-01 00:00:00,16.53,16.72,15.91,16.38,2874987,47223974.2
2024-02-02 00:00:00,16.3,16.6,14.79,15.29,5369205,83917782.3
2024-02-05 00:00:00,15.21,15.21,13.76,14.02,5974376,84853450.6
2024-02-06 00:00:00,13.29,14.9,13.1,14.58,5028679,70000667.1
2024-02-07 00:00:00,14.58,14.63,13.7,13.92,4063663,57738306.4
2024-02-08 00:00:00,13.93,15.26,13.87,15.26,4139282,60358868.8
2024-02-19 00:00:00,15.21,16.08,15,15.91,4092827,64933832.0
2024-02-20 00:00:00,15.81,16.77,15.63,16.36,3316133,54432054.2
2024-02-21 00:00:00,16.12,16.95,16.1,16.53,3269305,54427601.4
2024-02-22 00:00:00,16.34,16.78,16.31,16.69,2419168,40364193.6
2024-02-23 00:00:00,16.7,18.29,16.52,17.9,5102814,88659525.2
2024-02-26 00:00:00,17.65,18.39,17.33,17.7,4715019,84278387.3
2024-02-27 00:00:00,17.48,17.79,17.12,17.75,3219808,56901407.3
2024-02-28 00:00:00,17.76,18.29,16.37,16.5,4966840,87251101.8
2024-02-29 00:00:00,16.21,17.07,16.08,16.96,3102607,52444575.4
2024-03-01 00:00:00,17.6,18.66,17.6,18.66,2101753,39268270.8
2024-03-04 00:00:00,19.58,19.98,18.65,18.88,8574608,165812105.0
2024-03-05 00:00:00,18.78,19.16,18.07,18.11,5290720,98145884.2
2024-03-06 00:00:00,18.13,19.07,18.13,18.35,4428680,82891496.4
2024-03-07 00:00:00,18.36,19.04,18.05,18.06,4463885,82689637.7
2024-03-08 00:00:00,18.16,18.53,17.81,18.29,3452539,62959946.0
2024-03-11 00:00:00,18.3,19.86,18.3,19.76,8016576,156092054.3
2024-03-12 00:00:00,19.59,19.69,18.97,19.15,6067778,117275743.8
2024-03-13 00:00:00,19.06,20.83,19.06,20.32,9312802,189001385.0
2024-03-14 00:00:00,20.26,21.34,19.98,20.59,7294424,150764976.6
2024-03-15 00:00:00,20.49,21.14,20.28,20.53,6128146,127855374.3
2024-03-18 00:00:00,20.32,21.02,20.03,20.83,5374878,110848096.5
2024-03-19 00:00:00,20.38,21.52,20.29,20.71,5827936,122029451.9
2024-03-20 00:00:00,20.73,20.98,20.36,20.38,3908852,80821191.5
2024-03-21 00:00:00,20.27,20.56,20.08,20.19,3682127,74926006.1
2024-03-22 00:00:00,20.27,20.83,19.65,20.37,4711422,95587264.1
2024-03-25 00:00:00,20.18,21.38,20.04,20.88,6527363,136743914.2
2024-03-26 00:00:00,21.38,22.75,20.91,22.14,12291224,269426563.7
2024-03-27 00:00:00,23.42,24.06,21.38,21.4,14770256,340764470.0
2024-03-28 00:00:00,21.16,22.65,20.8,22.37,12352669,270437023.6
2024-03-29 00:00:00,22.37,23.02,21.88,22.14,9891620,223270806.6
2024-04-01 00:00:00,22.15,23.65,21.98,23.35,10326892,239761893.7
2024-04-02 00:00:00,23.36,25.65,23.25,25.04,17134868,420255877.9
2024-04-03 00:00:00,25.02,26.94,22.81,23.86,20526821,517076967.4
2024-04-08 00:00:00,23.07,24.46,21.79,22.02,13476416,310083473.0
2024-04-09 00:00:00,22.37,24.23,22.37,24.23,9458438,224033661.1
2024-04-10 00:00:00,26.12,26.12,23.88,24.76,21258169,534853285.7
2024-04-11 00:00:00,24.46,27.23,24.46,26.34,22492994,587266787.6
2024-04-12 00:00:00,25.1,25.36,23.7,23.7,16700354,409170677.7
2024-04-15 00:00:00,22.62,24.01,21.34,21.34,14660767,330387111.3
2024-04-16 00:00:00,20.64,21.16,19.56,19.8,10580933,213706064.6
2024-04-17 00:00:00,20.3,21.78,20.3,21.78,11359708,243903625.1
2024-04-18 00:00:00,21.55,22.65,20.76,21.67,11919571,260513627.8
2024-04-19 00:00:00,21.56,21.95,20.93,21.65,8487320,183371972.3
2024-04-22 00:00:00,21.08,21.8,20.77,20.87,5632294,119249398.7
2024-04-23 00:00:00,20.88,21.5,20.79,21.26,5357227,114624577.8
2024-04-24 00:00:00,21.2,21.5,20.7,20.99,7151711,151401285.3
2024-04-25 00:00:00,20.7,22,20.55,21.46,6980853,150510739.6
2024-04-26 00:00:00,21.22,21.95,21.18,21.57,7110393,154073459.7
2024-04-29 00:00:00,22.39,23.72,22.21,23.72,14349681,336986981.6
2024-04-30 00:00:00,23.82,24.91,23.82,24.22,14934078,363940499.3
2024-05-06 00:00:00,24.44,25.44,24.44,25.3,12732324,318546138.6
2024-05-07 00:00:00,25.24,25.24,24.33,24.65,8974811,221298750.9
2024-05-08 00:00:00,24.65,24.65,23.72,23.84,6803309,164362824.4
2024-05-09 00:00:00,24.24,24.9,24.05,24.21,9182923,225165397.2
2024-05-10 00:00:00,23.88,24.12,23.2,23.34,7415233,174737509.1
2024-05-13 00:00:00,23.38,23.68,22.4,22.5,6074529,138865226.3
2024-05-14 00:00:00,22.72,23.04,22.57,22.84,3637142,83112709.0
2024-05-15 00:00:00,22.89,23.1,22.44,22.6,3500677,79859661.3
2024-05-16 00:00:00,22.48,23.16,22.48,22.83,3930191,90151473.8
2024-05-17 00:00:00,22.72,23.52,22.44,23.3,5946148,137081334.6
2024-05-20 00:00:00,23.28,23.28,22.54,22.74,5662428,129648419.4
2024-05-21 00:00:00,22.52,22.63,22.15,22.32,3789257,84709598.0
2024-05-22 00:00:00,22.32,22.71,22.2,22.33,3073100,69067052.0
2024-05-23 00:00:00,22.15,22.15,21.46,21.56,4177868,90990925.8
2024-05-24 00:00:00,21.59,21.76,20.99,21.02,3398967,72393675.2
2024-05-27 00:00:00,21.01,21.78,21.01,21.67,4111371,88536344.4
2024-05-28 00:00:00,21.49,21.71,21.1,21.3,3040671,64782057.3
2024-05-29 00:00:00,21.21,22.91,21.07,22.65,8861483,197760149.1
2024-05-30 00:00:00,22.68,23.14,22.28,22.63,8307059,189229235.4
2024-05-31 00:00:00,22.59,22.59,21.71,21.75,5051262,111265607.7
2024-06-03 00:00:00,21.46,22.17,21.21,21.43,3829168,82304670.7
