timestamp,open,high,low,close,volume,amount
2024-11-20 00:00:00,9.41,9.75,9.3,9.73,7278707,69815428.72
2024-11-21 00:00:00,9.64,9.84,9.52,9.78,5456181,52958428.88
2024-11-22 00:00:00,9.72,9.78,9.11,9.16,6103829,57666231.06
2024-11-25 00:00:00,9.14,9.27,9.02,9.24,3336517,30564801.71
2024-11-26 00:00:00,9.24,9.58,9.13,9.2,3908103,36377290.26
2024-11-27 00:00:00,9.25,9.49,8.95,9.43,5173551,47605624.63
2024-11-28 00:00:00,9.43,9.6,9.3,9.38,3841583,36161646.08
2024-11-29 00:00:00,9.33,9.51,9.21,9.39,5188363,48688132.29
2024-12-02 00:00:00,9.37,9.82,9.29,9.69,7141940,68585541.62
2024-12-03 00:00:00,9.68,9.75,9.32,9.51,6115570,57734863.7
2024-12-04 00:00:00,9.45,9.51,9.07,9.13,6016432,55769089.5
2024-12-05 00:00:00,9.12,9.26,9.02,9.18,4650272,42556582.76
2024-12-06 00:00:00,9.25,9.45,9.08,9.42,4358134,40601086.12
2024-12-09 00:00:00,9.48,9.61,9.27,9.35,4131391,38893780.62
2024-12-10 00:00:00,9.55,9.66,9.44,9.45,4812223,46043595.95
2024-12-11 00:00:00,9.5,9.58,9.4,9.52,4123177,39104314.99
2024-12-12 00:00:00,9.55,9.74,9.48,9.59,4663957,44787632.7
2024-12-13 00:00:00,9.68,9.96,9.56,9.62,11835924,115835395.02
2024-12-16 00:00:00,9.62,9.69,9.21,9.27,6449399,60171241.56
2024-12-17 00:00:00,9.21,9.29,8.86,8.88,5550507,50150675.18
2024-12-18 00:00:00,8.92,8.94,8.58,8.67,6006966,52552923.03
2024-12-19 00:00:00,8.52,8.96,8.44,8.75,6606026,57342408.84
2024-12-20 00:00:00,8.78,8.88,8.73,8.8,3592493,31654623.32
2024-12-23 00:00:00,8.85,8.88,8.37,8.43,6176077,52592945.75
2024-12-24 00:00:00,8.43,8.49,8.26,8.38,3520534,29433216.78
2024-12-25 00:00:00,8.38,8.42,7.97,8.02,5427758,44010309.03
2024-12-26 00:00:00,8.04,8.23,7.99,8.18,2706394,22093968.37
2024-12-27 00:00:00,8.25,8.33,8.11,8.15,2164340,17801145.03
2024-12-30 00:00:00,8.18,8.18,7.98,8.0,3315405,26636113.12
2024-12-31 00:00:00,8.04,8.12,7.8,7.86,3786637,30115508.88
2025-01-02 00:00:00,7.87,7.95,7.6,7.68,4256312,33087894.1
2025-01-03 00:00:00,7.77,7.77,7.47,7.52,5211395,39748187.48
2025-01-06 00:00:00,7.46,7.7,7.31,7.43,6639777,49785059.39
2025-01-07 00:00:00,7.5,7.57,7.34,7.57,3950639,29512685.57
2025-01-08 00:00:00,7.56,7.7,7.17,7.44,5885792,43747115.2
2025-01-09 00:00:00,7.4,7.51,7.38,7.42,2791221,20760435.27
2025-01-10 00:00:00,7.39,7.4,7.15,7.17,4224524,30589041.75
2025-01-13 00:00:00,7.1,7.22,7.02,7.22,2557641,18265720.44
2025-01-14 00:00:00,7.15,7.46,7.15,7.46,3737412,27508670.36
2025-01-15 00:00:00,7.44,7.51,7.38,7.4,2634471,19584261.24
2025-01-16 00:00:00,7.5,7.54,7.37,7.42,2124686,15812231.64
2025-01-17 00:00:00,7.44,7.45,7.27,7.37,2887025,21257002.61
2025-01-20 00:00:00,7.4,7.46,7.24,7.34,3186634,23455287.68
2025-01-21 00:00:00,7.39,7.4,7.14,7.24,3583495,25886216.7
2025-01-22 00:00:00,7.2,7.22,7.08,7.11,2732588,19494083.39
2025-01-23 00:00:00,7.16,7.38,7.16,7.17,4977656,36236103.18
2025-01-24 00:00:00,7.2,7.26,7.1,7.26,3345499,24055563.25
2025-01-27 00:00:00,7.29,7.41,7.26,7.28,2791810,20428228.65
2025-02-05 00:00:00,7.28,7.44,7.28,7.41,2507798,18483719.85
2025-02-06 00:00:00,7.39,7.46,7.34,7.42,3539374,26191878.11
2025-02-07 00:00:00,7.43,7.59,7.42,7.54,4819214,36255788.71
2025-02-10 00:00:00,7.54,7.9,7.51,7.89,7443960,57659334.43
2025-02-11 00:00:00,7.9,7.9,7.72,7.8,3962338,30826488.58
2025-02-12 00:00:00,7.86,7.87,7.73,7.82,3345538,26114056.48
2025-02-13 00:00:00,7.81,7.95,7.76,7.82,4331269,34020207.41
2025-02-14 00:00:00,7.82,8.11,7.79,7.94,4471935,35710524.6
2025-02-17 00:00:00,7.93,8.14,7.93,7.96,4595245,36902251.49
2025-02-18 00:00:00,7.96,8.23,7.85,7.95,7057775,56881059.75
2025-02-19 00:00:00,7.94,8.07,7.88,8.02,4158627,33196909.91
2025-02-20 00:00:00,8.03,8.18,8.01,8.08,3348680,27087731.64
2025-02-21 00:00:00,8.08,8.22,7.96,8.18,4664504,37833436.32
2025-02-24 00:00:00,8.24,8.24,8.03,8.11,3755343,30457206.46
2025-02-25 00:00:00,8.0,8.11,7.9,7.96,6028680,48194520.34
2025-02-26 00:00:00,7.99,8.28,7.92,8.23,6227430,50574834.9
2025-02-27 00:00:00,8.22,8.26,8.1,8.24,3893694,31823491.71
2025-02-28 00:00:00,8.2,8.36,8.1,8.24,6119868,50212436.18
2025-03-03 00:00:00,8.24,8.54,8.2,8.4,6760262,56755207.16
2025-03-04 00:00:00,8.46,9.4,8.42,9.35,17924938,162452157.84
2025-03-05 00:00:00,9.06,9.86,9.06,9.5,13446203,128339034.3
2025-03-06 00:00:00,9.47,10.5,9.38,10.2,19125036,191119109.32
2025-03-07 00:00:00,10.14,10.47,9.75,9.88,12367731,123422770.4
2025-03-10 00:00:00,9.66,9.9,9.3,9.54,12971218,123355266.54
2025-03-11 00:00:00,9.4,9.77,9.38,9.7,7535226,72097424.65
2025-03-12 00:00:00,9.6,9.78,9.38,9.41,7041094,66901891.29
2025-03-13 00:00:00,9.4,9.44,9.0,9.1,7362520,67508508.62
2025-03-14 00:00:00,9.1,9.78,9.07,9.62,11343446,108244948.76
2025-03-17 00:00:00,9.72,9.85,9.39,9.63,7901653,76269875.99
2025-03-18 00:00:00,9.65,10.23,9.55,10.01,11290389,112469583.25
2025-03-19 00:00:00,9.9,10.49,9.89,9.93,10817159,110069592.49
2025-03-20 00:00:00,9.9,10.15,9.57,9.66,10311795,100179596.99
