timestamp,open,high,low,close,volume,amount
2024-11-20 00:00:00,9.07,9.08,8.96,9.01,22879298,205859607.16
2024-11-21 00:00:00,8.99,9.03,8.96,9.0,16083107,144670360.93
2024-11-22 00:00:00,9.0,9.05,8.65,8.68,19838040,175988977.0
2024-11-25 00:00:00,8.7,8.73,8.56,8.66,13929629,120515430.14
2024-11-26 00:00:00,8.64,8.68,8.58,8.6,10104341,87182334.04
2024-11-27 00:00:00,8.59,8.72,8.43,8.71,13726767,117641217.48
2024-11-28 00:00:00,8.69,9.04,8.67,8.82,24469894,217852175.58
2024-11-29 00:00:00,8.81,8.97,8.76,8.91,15789280,140325563.2
2024-12-02 00:00:00,8.92,9.11,8.9,9.07,15526884,140327806.46
2024-12-03 00:00:00,9.09,9.26,9.05,9.25,19346222,177004893.68
2024-12-04 00:00:00,9.2,9.23,9.06,9.1,12879960,117782856.0
2024-12-05 00:00:00,9.07,9.13,8.97,9.03,15359300,138808809.2
2024-12-06 00:00:00,9.02,9.27,9.01,9.26,21224448,194419642.35
2024-12-09 00:00:00,9.23,9.44,9.18,9.24,24235437,225562851.76
2024-12-10 00:00:00,9.54,9.58,9.22,9.24,26354219,246607123.26
2024-12-11 00:00:00,9.21,9.31,9.19,9.21,14505894,134042511.28
2024-12-12 00:00:00,9.2,9.42,9.13,9.35,21977544,204011831.49
2024-12-13 00:00:00,9.3,9.3,9.04,9.06,20392761,186489938.46
2024-12-16 00:00:00,9.1,9.15,9.01,9.06,9545170,86548317.44
2024-12-17 00:00:00,9.25,9.25,9.05,9.1,22893933,209413191.18
2024-12-18 00:00:00,9.16,9.28,9.1,9.11,19092957,175839861.3
2024-12-19 00:00:00,9.06,9.14,9.02,9.1,13458147,122032728.97
2024-12-20 00:00:00,9.1,9.23,9.08,9.17,12612190,115392604.86
2024-12-23 00:00:00,9.17,9.28,9.09,9.13,17975914,165266956.68
2024-12-24 00:00:00,9.12,9.36,9.11,9.31,22024330,204209663.5
2024-12-25 00:00:00,9.33,9.37,9.2,9.33,16135600,150067222.8
2024-12-26 00:00:00,9.31,9.34,9.23,9.27,13047404,121010591.68
2024-12-27 00:00:00,9.29,9.5,9.25,9.47,21931076,205912812.5
2024-12-30 00:00:00,9.45,9.49,9.4,9.45,13908721,131451663.09
2024-12-31 00:00:00,9.44,9.48,9.22,9.23,23865821,222577178.5
2025-01-02 00:00:00,9.21,9.26,8.8,8.86,23957402,216116416.46
2025-01-03 00:00:00,8.9,9.01,8.76,8.8,16381366,145358866.87
2025-01-06 00:00:00,8.75,8.94,8.74,8.9,13453500,118693943.0
2025-01-07 00:00:00,8.88,8.94,8.67,8.75,13191155,115693789.36
2025-01-08 00:00:00,8.76,8.82,8.57,8.65,29282634,253221919.8
2025-01-09 00:00:00,8.61,8.63,8.5,8.56,11761860,100772309.58
2025-01-10 00:00:00,8.56,8.68,8.54,8.59,11882100,102497070.0
2025-01-13 00:00:00,8.53,8.62,8.0,8.57,12105334,103396935.06
2025-01-14 00:00:00,8.59,8.81,8.59,8.8,17086927,149020870.79
2025-01-15 00:00:00,8.46,8.61,8.38,8.58,16142735,137287439.47
2025-01-16 00:00:00,8.61,8.7,8.54,8.6,14304475,123379954.46
2025-01-17 00:00:00,8.58,8.72,8.55,8.72,8820323,76349283.53
2025-01-20 00:00:00,8.75,8.78,8.62,8.64,8362367,72772837.08
2025-01-21 00:00:00,8.7,8.7,8.53,8.59,7021474,60403849.88
2025-01-22 00:00:00,8.57,8.6,8.45,8.51,8318023,70742235.68
2025-01-23 00:00:00,8.62,8.73,8.55,8.57,13046100,112637685.6
2025-01-24 00:00:00,8.57,8.74,8.5,8.72,13157462,113545897.02
2025-01-27 00:00:00,8.74,8.88,8.73,8.79,13034852,114914752.44
2025-02-05 00:00:00,8.82,8.85,8.6,8.68,13231990,115230009.22
2025-02-06 00:00:00,8.68,8.73,8.61,8.71,8819800,76486828.0
2025-02-07 00:00:00,8.68,8.93,8.67,8.82,17751466,156641558.38
2025-02-10 00:00:00,8.84,8.91,8.77,8.77,9711960,85667855.76
2025-02-11 00:00:00,8.82,8.86,8.78,8.85,9503140,83824854.4
2025-02-12 00:00:00,8.81,8.87,8.72,8.82,10230515,89875982.23
2025-02-13 00:00:00,8.82,8.88,8.76,8.83,11829931,104446416.91
2025-02-14 00:00:00,8.79,8.83,8.69,8.78,9176868,80356236.36
2025-02-17 00:00:00,8.8,8.82,8.73,8.79,9262975,81337296.71
2025-02-18 00:00:00,8.78,8.81,8.67,8.71,10800082,94410799.5
2025-02-19 00:00:00,8.67,8.72,8.65,8.67,6647862,57714098.94
2025-02-20 00:00:00,8.66,8.68,8.59,8.61,8006460,69014422.0
2025-02-21 00:00:00,8.62,8.71,8.57,8.68,8423482,72840430.4
2025-02-24 00:00:00,8.65,8.85,8.64,8.84,13687152,120372024.27
2025-02-25 00:00:00,8.79,9.02,8.78,8.92,17169940,153482273.38
2025-02-26 00:00:00,8.91,8.99,8.85,8.98,9341594,83444163.04
2025-02-27 00:00:00,8.97,9.0,8.86,8.94,8210532,73265348.94
2025-02-28 00:00:00,8.91,9.0,8.8,8.83,10419068,92547669.48
2025-03-03 00:00:00,8.88,8.99,8.85,8.91,13114033,117092628.43
2025-03-04 00:00:00,8.92,9.01,8.87,8.93,8780719,78570165.47
2025-03-05 00:00:00,8.94,8.95,8.76,8.89,10609397,93745129.09
2025-03-06 00:00:00,8.89,8.97,8.84,8.95,9416215,83917424.25
2025-03-07 00:00:00,8.93,9.04,8.91,8.97,8679720,77839360.67
2025-03-10 00:00:00,8.98,8.98,8.85,8.87,8611913,76525010.9
2025-03-11 00:00:00,8.81,8.88,8.76,8.87,6831780,60308378.2
2025-03-12 00:00:00,8.9,8.97,8.86,8.9,8038680,71597479.51
2025-03-13 00:00:00,8.89,8.95,8.83,8.94,13248199,117925908.46
2025-03-14 00:00:00,8.94,9.13,8.93,9.1,20925998,189761968.46
2025-03-17 00:00:00,9.14,9.14,9.05,9.1,13449578,122321370.25
2025-03-18 00:00:00,9.1,9.13,9.07,9.11,6963100,63367693.0
2025-03-19 00:00:00,9.09,9.13,9.01,9.11,9143992,82948490.62
2025-03-20 00:00:00,9.1,9.18,9.07,9.14,10706000,97798628.54
2025-03-21 00:00:00,9.12,9.2,8.98,9.02,11568200,105060350.0
2025-03-24 00:00:00,9.05,9.16,8.96,9.09,13053898,118343566.44
2025-03-25 00:00:00,9.1,9.15,9.04,9.15,12094937,110071666.98
2025-03-26 00:00:00,9.11,9.21,9.09,9.18,11273629,103143057.49
2025-03-27 00:00:00,9.15,9.2,9.06,9.08,9503600,86539686.0
2025-03-28 00:00:00,9.09,9.11,8.98,9.02,9534412,86068860.94
2025-03-31 00:00:00,8.99,9.08,8.87,8.87,10575134,94713359.58
2025-04-01 00:00:00,8.91,9.03,8.9,8.94,11018634,98783028.17
2025-04-02 00:00:00,8.94,8.98,8.9,8.94,5709600,51029703.0
2025-04-03 00:00:00,8.87,9.05,8.86,8.98,6826410,61252204.7
2025-04-07 00:00:00,8.66,8.75,8.1,8.22,42966322,362410070.0
2025-04-08 00:00:00,8.28,8.52,8.28,8.4,22998518,193510536.99
2025-04-09 00:00:00,8.29,8.45,8.18,8.41,15158506,126109035.46
2025-04-10 00:00:00,8.5,8.62,8.45,8.51,11762327,100518052.46
2025-04-11 00:00:00,8.49,8.62,8.45,8.56,8879200,75900822.0
2025-04-14 00:00:00,8.56,8.62,8.52,8.55,8923840,76388155.8
2025-04-15 00:00:00,8.54,8.56,8.48,8.55,7490020,63778505.0
2025-04-16 00:00:00,8.53,8.57,8.46,8.52,7147508,60836534.42
2025-04-17 00:00:00,8.5,8.57,8.47,8.53,5038230,43009551.3
2025-04-18 00:00:00,8.52,8.55,8.47,8.52,4689402,39886239.04
2025-04-21 00:00:00,8.54,8.6,8.52,8.57,5758700,49359216.0
2025-04-22 00:00:00,8.58,8.75,8.56,8.72,8267844,71698812.66
2025-04-23 00:00:00,8.73,8.79,8.7,8.72,5478100,47838459.0
2025-04-24 00:00:00,8.73,8.82,8.7,8.8,8849589,77634819.89
2025-04-25 00:00:00,8.78,8.92,8.78,8.9,7909344,69970554.3
2025-04-28 00:00:00,8.75,8.75,8.54,8.65,15194372,131140905.86
2025-04-29 00:00:00,8.62,8.63,8.53,8.55,8361782,71706398.18
2025-04-30 00:00:00,8.61,8.72,8.54,8.54,13280182,114543228.26
2025-05-06 00:00:00,8.58,8.59,8.5,8.59,11591485,99217521.43
2025-05-07 00:00:00,8.68,8.72,8.59,8.64,9510625,82241044.35
