timestamp,open,high,low,close,volume,amount
2024-11-20 00:00:00,46.71,47.38,46.4,46.88,9979017.0,467606343.26
2024-11-21 00:00:00,46.56,46.92,45.7,46.37,10036228.0,466186464.18
2024-11-22 00:00:00,46.03,46.88,43.77,43.85,12576742.0,568778426.14
2024-11-25 00:00:00,43.85,44.43,43.2,44.07,8983143.0,393061130.75
2024-11-26 00:00:00,43.98,45.02,43.86,44.05,6370419.0,283306549.65
2024-11-27 00:00:00,44.03,45.4,43.34,45.38,9987000.0,445661774.84
2024-11-28 00:00:00,45.38,45.83,44.69,44.83,8362612.0,378605862.36
2024-11-29 00:00:00,44.65,45.93,44.3,45.28,9724331.0,439237772.29
2024-12-02 00:00:00,45.07,45.82,44.85,45.44,9005604.0,409015589.11
2024-12-03 00:00:00,45.37,45.58,44.33,44.79,8235000.0,368981283.54
2024-12-04 00:00:00,46.51,47.45,45.31,45.41,20727491.0,966048001.51
2024-12-05 00:00:00,45.01,46.36,45.01,45.64,11109551.0,508566090.11
2024-12-06 00:00:00,45.45,46.38,44.98,45.8,11717381.0,535401106.01
2024-12-09 00:00:00,45.7,45.74,44.61,44.98,8513674.0,384236781.54
2024-12-10 00:00:00,46.6,46.77,45.3,45.49,11890718.0,547758460.96
2024-12-11 00:00:00,45.48,46.33,45.22,45.7,9628079.0,440324299.9
2024-12-12 00:00:00,45.7,45.83,45.09,45.73,7452273.0,339032993.97
2024-12-13 00:00:00,45.35,46.44,44.9,45.68,12855445.0,586072547.14
2024-12-16 00:00:00,45.7,46.08,44.54,44.83,9215900.0,418282607.0
2024-12-17 00:00:00,44.67,45.13,44.31,44.46,6834354.0,304940680.0
2024-12-18 00:00:00,44.55,45.87,44.26,45.7,10927200.0,494830349.0
2024-12-19 00:00:00,45.13,46.33,44.8,46.19,11696801.0,536824234.48
2024-12-20 00:00:00,46.19,47.71,45.95,46.72,16252716.0,761439120.68
2024-12-23 00:00:00,46.56,47.08,45.85,45.95,10534900.0,488606969.08
2024-12-24 00:00:00,46.09,47.48,45.35,47.36,14792499.0,688595160.39
2024-12-25 00:00:00,47.0,47.35,46.46,46.77,10225095.0,479164098.29
2024-12-26 00:00:00,46.57,47.73,46.47,47.6,14593151.0,690286106.31
2024-12-27 00:00:00,47.43,48.1,46.65,46.65,14696650.0,696382981.42
2024-12-30 00:00:00,46.2,46.93,45.88,46.2,8891650.0,412178156.16
2024-12-31 00:00:00,46.19,46.35,43.51,43.52,13527132.0,603427677.88
2025-01-02 00:00:00,43.58,43.67,40.86,41.38,12010437.0,507181774.54
2025-01-03 00:00:00,41.68,41.86,40.36,40.48,9232039.0,379521969.65
2025-01-06 00:00:00,40.48,40.89,40.22,40.64,6739800.0,273312043.36
2025-01-07 00:00:00,40.69,41.58,40.5,41.42,7473600.0,306925579.73
2025-01-08 00:00:00,41.03,41.57,39.7,40.97,9759956.0,397082666.96
2025-01-09 00:00:00,40.7,41.84,40.61,41.48,7934876.0,329418196.78
2025-01-10 00:00:00,41.2,42.27,40.76,40.76,7014642.0,291681879.58
2025-01-13 00:00:00,40.35,41.2,40.06,40.95,4837674.0,197491679.48
2025-01-14 00:00:00,41.18,42.84,40.69,42.8,9699561.0,407986195.19
2025-01-15 00:00:00,42.5,43.08,42.31,42.59,7314954.0,312005848.78
2025-01-16 00:00:00,42.79,43.28,42.1,42.36,7175900.0,305864452.58
2025-01-17 00:00:00,42.07,43.87,42.07,43.47,10042450.0,433269249.0
2025-01-20 00:00:00,43.62,43.93,43.12,43.38,6985060.0,303900693.8
2025-01-21 00:00:00,43.45,44.3,43.12,44.1,8656327.0,379409125.89
2025-01-22 00:00:00,43.89,44.37,43.71,44.08,6325900.0,278717451.0
2025-01-23 00:00:00,44.53,45.09,43.93,43.95,8794400.0,391258751.0
2025-01-24 00:00:00,43.79,44.38,43.7,44.13,5934500.0,262097443.0
2025-01-27 00:00:00,44.21,44.57,43.2,43.2,5343900.0,233444162.0
2025-02-05 00:00:00,43.88,44.22,43.38,43.5,6302301.0,276037281.11
2025-02-06 00:00:00,43.31,44.63,43.2,44.53,9651100.0,427269768.0
2025-02-07 00:00:00,44.54,45.24,44.07,44.64,12898314.0,576494637.0
2025-02-10 00:00:00,44.5,44.97,44.34,44.5,8742600.0,390058823.94
2025-02-11 00:00:00,44.48,44.51,43.51,44.06,7155380.0,314056978.44
2025-02-12 00:00:00,43.91,45.68,43.62,45.66,15603662.0,701080405.23
2025-02-13 00:00:00,45.5,46.07,44.59,44.62,11754505.0,530636456.5
2025-02-14 00:00:00,44.3,44.95,43.88,44.73,8611303.0,382784128.19
2025-02-17 00:00:00,44.89,45.06,44.1,44.59,9711791.0,432057097.38
2025-02-18 00:00:00,44.67,45.19,43.43,43.53,10326854.0,457874776.9
2025-02-19 00:00:00,43.51,45.27,43.31,45.15,14854752.0,665542839.28
2025-02-20 00:00:00,45.3,45.88,44.93,45.52,10939958.0,497193870.84
2025-02-21 00:00:00,45.53,46.5,45.3,46.32,14870595.0,684606943.23
2025-02-24 00:00:00,46.11,46.77,45.55,46.46,13215662.0,610809483.52
2025-02-25 00:00:00,45.58,47.15,45.5,46.65,13197422.0,613882289.93
2025-02-26 00:00:00,46.72,46.82,46.02,46.34,12147615.0,563497558.17
2025-02-27 00:00:00,46.35,47.0,45.26,46.05,12011900.0,554012613.0
2025-02-28 00:00:00,45.62,45.97,43.66,43.92,13073432.0,586250466.9
2025-03-03 00:00:00,44.0,45.62,43.11,44.87,11539044.0,516276478.95
2025-03-04 00:00:00,44.58,46.84,44.5,46.33,15671210.0,718133245.98
2025-03-05 00:00:00,46.09,46.85,45.64,46.3,9206875.0,425257381.0
2025-03-06 00:00:00,46.41,47.35,46.31,46.81,14202025.0,666514512.49
2025-03-07 00:00:00,46.66,49.33,46.56,47.61,24560674.0,1179869536.98
2025-03-10 00:00:00,47.45,48.13,46.97,47.68,14524169.0,690729646.09
2025-03-11 00:00:00,47.0,48.75,46.93,48.52,15486980.0,744341345.45
2025-03-12 00:00:00,48.52,50.98,48.5,49.88,23467072.0,1177483387.97
2025-03-13 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-14 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-17 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-18 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-19 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-20 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-21 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-24 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-25 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-26 00:00:00,49.88,49.88,49.88,49.88,,
2025-03-27 00:00:00,44.5,47.68,44.5,46.25,27513165.0,1270304340.45
2025-03-28 00:00:00,46.25,48.1,46.25,46.33,16733690.0,787976027.52
2025-03-31 00:00:00,47.3,48.5,45.76,46.41,14357840.0,673091638.29
2025-04-01 00:00:00,46.68,47.1,45.76,46.36,10757906.0,498749836.95
2025-04-02 00:00:00,46.3,48.49,46.2,47.64,13182891.0,627775059.28
2025-04-03 00:00:00,47.0,48.07,45.94,46.5,11616175.0,544960449.9
2025-04-07 00:00:00,44.1,44.84,37.9,39.54,19947812.0,825112769.1
2025-04-08 00:00:00,40.55,42.15,40.22,41.08,14563604.0,598957833.58
2025-04-09 00:00:00,40.22,43.72,39.92,42.48,15093241.0,635640286.3
2025-04-10 00:00:00,43.5,44.72,42.99,42.99,12366363.0,541399082.54
2025-04-11 00:00:00,42.56,47.52,42.48,46.8,21838258.0,997743111.93
2025-04-14 00:00:00,47.3,47.41,45.77,45.93,15530654.0,718240348.86
2025-04-15 00:00:00,45.9,46.1,45.0,45.32,7293060.0,330435996.6
2025-04-16 00:00:00,45.08,46.66,45.08,45.81,11876416.0,544193471.74
2025-04-17 00:00:00,45.33,46.75,45.2,45.26,10024000.0,461325851.8
2025-04-18 00:00:00,45.34,45.38,44.41,44.97,6426719.0,288687182.24
2025-04-21 00:00:00,45.02,45.55,44.8,45.5,5659340.0,255591624.2
2025-04-22 00:00:00,45.15,47.3,45.07,46.81,14864881.0,691956857.22
2025-04-23 00:00:00,46.85,46.99,46.01,46.71,10509775.0,489177215.5
2025-04-24 00:00:00,46.71,46.95,46.11,46.43,6559100.0,304321748.0
2025-04-25 00:00:00,47.69,48.66,46.99,48.05,17942205.0,858843117.72
2025-04-28 00:00:00,47.75,48.47,47.56,47.8,9598303.0,460457837.58
2025-04-29 00:00:00,47.62,48.47,47.34,48.19,9202886.0,441350610.99
2025-04-30 00:00:00,47.78,48.83,47.51,48.35,10709059.0,516885447.38
2025-05-06 00:00:00,48.66,48.85,47.86,48.53,15770924.0,763096800.08
2025-05-07 00:00:00,49.0,49.25,47.4,47.78,12931939.0,620432587.44
