timestamp,open,high,low,close,volume,amount
2024-11-20 00:00:00,4.46,4.63,4.44,4.62,68090244,309575167.52
2024-11-21 00:00:00,4.55,4.7,4.49,4.57,48298836,220054373.34
2024-11-22 00:00:00,4.56,5.03,4.54,4.81,115835173,554774645.49
2024-11-25 00:00:00,4.73,5.04,4.58,4.74,98304435,471686990.26
2024-11-26 00:00:00,4.63,4.84,4.57,4.57,66403275,310979413.4
2024-11-27 00:00:00,4.53,4.58,4.39,4.57,50267307,225401587.74
2024-11-28 00:00:00,4.58,4.66,4.54,4.63,36672633,169407454.23
2024-11-29 00:00:00,4.58,4.68,4.53,4.62,34786787,160105209.87
2024-12-02 00:00:00,4.64,4.71,4.59,4.63,37741713,174613368.97
2024-12-03 00:00:00,4.63,4.67,4.57,4.61,27979538,129089039.1
2024-12-04 00:00:00,4.62,4.62,4.5,4.52,23373050,106435384.0
2024-12-05 00:00:00,4.5,4.55,4.5,4.55,14590272,66187959.16
2024-12-06 00:00:00,4.56,4.75,4.53,4.72,43715778,204632700.35
2024-12-09 00:00:00,4.73,4.79,4.66,4.71,28811808,135873976.65
2024-12-10 00:00:00,4.82,4.82,4.65,4.66,31830064,150214528.73
2024-12-11 00:00:00,4.66,4.72,4.64,4.71,18954705,88918984.05
2024-12-12 00:00:00,4.68,4.74,4.64,4.73,28046022,131550685.27
2024-12-13 00:00:00,4.71,4.72,4.58,4.6,22872919,106406482.94
2024-12-16 00:00:00,4.61,4.71,4.58,4.69,25154517,117388111.51
2024-12-17 00:00:00,4.7,4.71,4.52,4.53,35183545,161783933.52
2024-12-18 00:00:00,4.56,4.62,4.5,4.52,19462700,88900585.0
2024-12-19 00:00:00,4.48,4.51,4.4,4.48,15961552,71123107.32
2024-12-20 00:00:00,4.47,4.59,4.47,4.52,15479967,70171783.63
2024-12-23 00:00:00,4.53,4.54,4.39,4.4,15918162,70881158.14
2024-12-24 00:00:00,4.42,4.54,4.4,4.52,19431068,86987637.23
2024-12-25 00:00:00,4.51,4.53,4.41,4.47,12339420,54919990.35
2024-12-26 00:00:00,4.47,4.48,4.42,4.43,10943264,48640590.06
2024-12-27 00:00:00,4.43,4.53,4.42,4.52,17014167,76393649.82
2024-12-30 00:00:00,4.52,4.53,4.46,4.48,9964170,44627455.72
2024-12-31 00:00:00,4.48,4.52,4.4,4.41,13052710,58071663.3
2025-01-02 00:00:00,4.41,4.47,4.25,4.29,18290300,79738138.0
2025-01-03 00:00:00,4.31,4.32,4.17,4.19,14333451,60792520.88
2025-01-06 00:00:00,4.18,4.21,4.11,4.2,9530069,39780133.08
2025-01-07 00:00:00,4.21,4.24,4.15,4.23,9158535,38401970.3
2025-01-08 00:00:00,4.21,4.25,4.13,4.23,9066479,38045907.86
2025-01-09 00:00:00,4.2,4.21,4.16,4.17,7275539,30441488.1
2025-01-10 00:00:00,4.17,4.19,4.1,4.11,8210580,34005859.0
2025-01-13 00:00:00,4.09,4.11,4.04,4.09,7841691,31982555.63
2025-01-14 00:00:00,4.09,4.2,4.09,4.2,11041511,45964320.44
2025-01-15 00:00:00,4.2,4.23,4.17,4.19,9619387,40376470.16
2025-01-16 00:00:00,4.21,4.25,4.19,4.23,9736618,41115541.1
2025-01-17 00:00:00,4.22,4.23,4.15,4.22,7750403,32573556.59
2025-01-20 00:00:00,4.25,4.28,4.21,4.23,7130501,30248633.23
2025-01-21 00:00:00,4.25,4.27,4.19,4.2,7477600,31586191.0
2025-01-22 00:00:00,4.2,4.21,4.12,4.14,8752200,36293249.0
2025-01-23 00:00:00,4.17,4.25,4.17,4.18,10870500,45704554.0
2025-01-24 00:00:00,4.16,4.19,4.13,4.16,10407501,43263162.16
2025-01-27 00:00:00,4.17,4.27,4.16,4.22,13379073,56632731.88
2025-02-05 00:00:00,4.23,4.24,4.11,4.13,13667394,56856516.28
2025-02-06 00:00:00,4.12,4.16,4.1,4.15,10791288,44608231.11
2025-02-07 00:00:00,4.15,4.22,4.1,4.2,14216724,59407268.06
2025-02-10 00:00:00,4.2,4.25,4.2,4.24,10175303,42956823.29
2025-02-11 00:00:00,4.25,4.26,4.2,4.25,10081103,42658871.65
2025-02-12 00:00:00,4.25,4.27,4.19,4.25,8640895,36526691.22
2025-02-13 00:00:00,4.25,4.29,4.24,4.26,14864803,63413090.54
2025-02-14 00:00:00,4.25,4.26,4.2,4.21,9856244,41591086.17
2025-02-17 00:00:00,4.21,4.28,4.19,4.26,11737334,49780597.95
2025-02-18 00:00:00,4.26,4.28,4.19,4.2,12487750,52827898.0
2025-02-19 00:00:00,4.21,4.22,4.18,4.2,8991290,37721337.54
2025-02-20 00:00:00,4.2,4.22,4.18,4.21,7902878,33150451.03
2025-02-21 00:00:00,4.21,4.22,4.15,4.18,9313016,38857840.72
2025-02-24 00:00:00,4.18,4.28,4.17,4.23,12481885,52794941.86
2025-02-25 00:00:00,4.22,4.24,4.19,4.19,10419799,43863891.77
2025-02-26 00:00:00,4.19,4.24,4.19,4.23,9841165,41569171.64
2025-02-27 00:00:00,4.23,4.26,4.21,4.25,14309282,60623342.3
2025-02-28 00:00:00,4.24,4.27,4.19,4.19,13308788,56396537.76
2025-03-03 00:00:00,4.22,4.24,4.17,4.18,11114420,46672918.88
2025-03-04 00:00:00,4.17,4.19,4.15,4.17,10498771,43739192.07
2025-03-05 00:00:00,4.18,4.18,4.1,4.13,10561364,43555755.58
2025-03-06 00:00:00,4.13,4.15,4.11,4.15,11601352,47949312.25
2025-03-07 00:00:00,4.14,4.15,4.1,4.1,13535991,55754314.33
2025-03-10 00:00:00,4.1,4.13,4.08,4.1,8761294,35936239.41
2025-03-11 00:00:00,4.08,4.11,4.05,4.1,10472211,42686513.23
2025-03-12 00:00:00,4.1,4.12,4.08,4.11,8797624,36082464.0
2025-03-13 00:00:00,4.11,4.12,4.07,4.1,11473180,46942811.8
2025-03-14 00:00:00,4.09,4.17,4.09,4.16,15878118,65668398.57
2025-03-17 00:00:00,4.17,4.2,4.16,4.17,12853454,53744327.21
